Person,Smoking,Drinking
1,NS,OD
2,NS,HD
3,OS,HD
4,HS,ND
5,NS,OD
6,NS,ND
7,NS,OD
8,NS,ND
9,OS,HD
10,HS,HD
11,NS,OD
12,NS,HD
13,NS,ND
14,OS,OD
15,NS,ND
16,NS,OD
17,NS,OD
18,NS,ND
19,HS,HD
20,OS,OD
21,NS,ND
22,HS,OD
23,NS,ND
24,NS,HD
25,NS,HD
26,NS,ND
27,HS,HD
28,NS,OD
29,HS,OD
30,NS,OD
31,HS,ND
32,OS,OD
33,NS,OD
34,NS,HD
35,OS,ND
36,OS,OD
37,HS,HD
38,NS,OD
39,NS,OD
40,NS,ND
41,NS,HD
42,NS,OD
43,OS,OD
44,HS,HD
45,NS,HD
46,OS,OD
47,NS,HD
48,NS,OD
49,OS,OD
50,NS,ND
51,OS,OD
52,NS,OD
53,NS,ND
54,NS,OD
55,OS,HD
56,NS,OD
57,NS,OD
58,HS,HD
59,NS,ND
60,OS,HD
61,NS,ND
62,HS,HD
63,NS,OD
64,OS,OD
65,NS,OD
66,NS,ND
67,OS,HD
68,OS,OD
69,HS,ND
70,NS,OD
71,OS,OD
72,NS,OD
73,NS,ND
74,NS,OD
75,NS,ND
76,OS,HD
77,NS,ND
78,NS,OD
79,NS,OD
80,NS,HD
81,NS,OD
82,HS,HD
83,OS,OD
84,OS,HD
85,HS,HD
86,NS,HD
87,NS,HD
88,HS,OD
89,OS,OD
90,NS,ND
91,NS,ND
92,NS,ND
93,NS,ND
94,OS,OD
95,OS,HD
96,NS,ND
97,NS,ND
98,NS,ND
99,NS,OD
100,NS,ND
101,NS,HD
102,NS,HD
103,OS,HD
104,NS,OD
105,OS,ND
106,NS,HD
107,NS,ND
108,OS,ND
109,HS,OD
110,NS,ND
111,OS,OD
112,OS,HD
113,NS,OD
114,NS,HD
115,NS,ND
116,OS,OD
117,NS,ND
118,NS,OD
119,NS,ND
120,OS,HD
121,OS,ND
122,OS,OD
123,NS,ND
124,NS,ND
125,NS,OD
126,HS,OD
127,OS,OD
128,NS,ND
129,HS,HD
130,OS,OD
131,OS,OD
132,NS,HD
133,NS,ND
134,NS,ND
135,HS,HD
136,OS,HD
137,NS,OD
138,NS,OD
139,HS,OD
140,NS,OD
141,HS,HD
142,NS,HD
143,NS,OD
144,OS,HD
145,NS,OD
146,NS,OD
147,NS,HD
148,NS,ND
149,HS,OD
150,OS,ND
151,NS,OD
152,NS,ND
153,HS,HD
154,NS,OD
155,OS,OD
156,NS,ND
157,OS,HD
158,NS,OD
159,NS,OD
160,HS,HD
161,NS,ND
162,NS,OD
163,OS,ND
164,NS,OD
165,NS,ND
166,NS,ND
167,NS,ND
168,NS,OD
169,NS,OD
170,OS,ND
171,NS,ND
172,NS,ND
173,HS,HD
174,NS,HD
175,NS,ND
176,OS,OD
177,NS,ND
178,HS,OD
179,OS,OD
180,NS,ND
181,OS,OD
182,OS,OD
183,OS,OD
184,NS,HD
185,NS,ND
186,NS,OD
187,NS,ND
188,OS,OD
189,OS,HD
190,NS,ND
191,OS,HD
192,NS,HD
193,NS,OD
194,HS,HD
195,NS,OD
196,NS,OD
197,NS,ND
198,NS,OD
199,NS,OD
200,OS,HD
201,OS,HD
202,NS,OD
203,NS,ND
204,NS,OD
205,NS,ND
206,HS,OD
207,NS,ND
208,OS,ND
209,HS,OD
210,OS,HD
211,HS,HD
212,NS,ND
213,NS,OD
214,NS,HD
215,NS,ND
216,NS,ND
217,HS,ND
218,HS,HD
219,NS,OD
220,NS,ND
221,OS,OD
222,HS,OD
223,OS,OD
224,NS,ND
225,OS,HD
